Designator,Mid X,Mid Y,Rotation,Layer
MX70,76.2,-121.18055,180.0,top
MX71,95.25,-121.18055,180.0,top
MX72,126.20625,-121.18055,180.0,top
MX73,157.1625,-121.18055,180.0,top
MX74,176.2125,-121.18055,180.0,top
MX75,195.2625,-121.18055,180.0,top
MX76,214.3125,-121.18055,180.0,top
MX77,245.26875,-121.18055,180.0,top
MX78,276.225,-121.18055,180.0,top
MX79,295.275,-121.18055,180.0,top
MX8,195.2625,-40.21805,180.0,top
MX80,314.325,-121.18055,180.0,top
MX81,338.1375,-125.94305,180.0,top
MX82,357.1875,-125.94305,180.0,top
MX83,376.2375,-125.94305,180.0,top
MX9,214.3125,-40.21805,180.0,top
P1,56.950002,-36.899784,180.0,bottom
Q1,57.2,-50.012502,270.0,bottom
Q2,61.15,-49.937501,270.0,bottom
R1,311.960001,-37.48,0.0,bottom
R10,57.69,-52.8,180.0,bottom
R11,380.19,-69.9,0.0,bottom
R12,61.709999,-47.2,180.0,bottom
R13,61.6,-52.8,180.0,bottom
R2,316.740002,-37.38,180.0,bottom
R3,368.150002,-64.800202,270.0,bottom
R4,367.150002,-64.800202,270.0,bottom
R5,379.150002,-106.714785,90.0,bottom
R6,367.010626,-82.46416,135.0,bottom
R7,380.189999,-67.7,0.0,bottom
R8,380.19,-68.8,180.0,bottom
R9,56.709999,-47.4,0.0,bottom
SW1,379.950002,-81.024784,180.0,bottom
SW2,373.200002,-109.124784,180.0,bottom
SW3,383.350002,-50.824782,270.0,bottom
U1,357.850002,-54.324784,180.0,bottom
U2,313.925002,-41.68,180.0,bottom
U3,368.550001,-74.962284,90.0,bottom
U4,377.450002,-61.324784,270.0,bottom
U6,59.175002,-44.874784,180.0,bottom
Y1,368.82886,-84.148007,315.0,bottom
